iso3,concept_id,magnitude,breadth,n_slope_metrics,n_improving,n_flat,n_deteriorating
CYP,15,-0.004526838850517114,-0.14285714285714285,7,0,6,1
CYP,16,0.00409171722960567,0.2,5,1,4,0
CYP,17,0.004070401740251681,,2,0,2,0
CYP,18,0.0008693246450043525,0.0,4,1,2,1
CYP,19,0.014764703486869207,0.4,5,2,3,0
CYP,20,-0.0006948379573152914,0.0,9,0,9,0
CYP,21,-0.0033878384214520293,-0.2222222222222222,9,0,7,2
CYP,22,0.006401168492520248,0.125,8,1,7,0
CYP,23,-0.012902452430566988,-0.25,8,0,6,2
CYP,24,-0.0049317427754190036,-0.16666666666666666,6,0,5,1
CYP,25,0.004059383997408191,0.3333333333333333,3,1,2,0
CZE,1,0.0022824243109041166,0.0,5,0,5,0
CZE,2,0.0032767612491835635,0.2,5,1,4,0
CZE,3,,,0,0,0,0
CZE,4,0.01965547062254978,,2,1,1,0
CZE,5,,,0,0,0,0
CZE,6,-0.00792388501094036,,1,0,1,0
CZE,8,,,0,0,0,0
CZE,9,,,0,0,0,0
CZE,10,5.301262799653895e-17,,1,0,1,0
CZE,11,,,0,0,0,0
CZE,12,0.0025340542406974815,0.0,5,0,5,0
CZE,13,0.009806466809141023,,2,1,1,0
CZE,14,-0.0017899305639746364,-0.2,5,0,4,1
CZE,15,0.014664002610578044,0.42857142857142855,7,3,4,0
CZE,16,-0.010231034051203456,-0.2,5,0,4,1
CZE,17,-0.002745181920097064,,2,0,2,0
CZE,18,-0.021975187163224198,-0.5,4,0,2,2
CZE,19,0.00018858262057796973,0.0,5,1,3,1
CZE,20,-0.012575591422237055,-0.2222222222222222,9,0,7,2
CZE,21,-0.0064930285993122705,-0.3333333333333333,9,1,4,4
CZE,22,-0.004878651838763888,0.0,8,1,6,1
CZE,23,-0.01037488579686566,-0.125,8,1,5,2
CZE,24,-0.007053736836194827,-0.3333333333333333,6,0,4,2
CZE,25,-0.006158819093781306,-0.3333333333333333,3,0,2,1
DEU,1,2.7403658197332903e-17,0.0,5,0,5,0
DEU,2,-0.002864515408981821,-0.2,5,0,4,1
DEU,3,,,0,0,0,0
DEU,4,-0.0029918727087947967,,2,0,2,0
DEU,5,,,0,0,0,0
DEU,6,-0.005983745417589635,,1,0,1,0
DEU,8,,,0,0,0,0
DEU,9,,,0,0,0,0
DEU,10,8.65019061267952e-17,,1,0,1,0
DEU,11,,,0,0,0,0
DEU,12,0.005480555447731183,0.3333333333333333,6,2,4,0
DEU,13,3.4468375594616664e-17,,2,0,2,0
DEU,14,9.773124509594123e-05,0.0,5,0,5,0
DEU,15,0.009917006487578846,0.2857142857142857,7,2,5,0
DEU,16,0.006557035714566079,0.0,5,1,3,1
DEU,17,0.004912537072495815,,2,0,2,0
DEU,18,-0.0026249908082076412,0.0,4,0,4,0
DEU,19,-7.495185249071666e-18,0.0,5,0,5,0
DEU,20,-0.00015233392175055814,0.1111111111111111,9,2,6,1
DEU,21,-0.0017193289914417139,0.1111111111111111,9,3,4,2
DEU,22,0.011653726618310902,0.125,8,1,7,0
DEU,23,-0.0028711603715431333,-0.125,8,0,7,1
DEU,24,-0.007245427800498865,-0.16666666666666666,6,1,3,2
DEU,25,-0.0010626135709391259,0.0,3,0,3,0
DNK,1,-4.157901984035795e-17,0.0,5,0,5,0
DNK,2,-0.0018205690499233501,-0.2,5,0,4,1
DNK,3,,,0,0,0,0
DNK,4,0.0003630790761875257,,2,0,2,0
DNK,5,,,0,0,0,0
DNK,6,0.0007261581523750094,,1,0,1,0
DNK,8,,,0,0,0,0
DNK,9,,,0,0,0,0
DNK,10,0.03247266366933861,,1,1,0,0
DNK,11,,,0,0,0,0
DNK,12,0.04290632929685829,0.4,5,2,3,0
DNK,13,1.799044420779603e-17,,2,0,2,0
DNK,14,-0.001498993502624923,0.0,5,0,5,0
DNK,15,-0.001946629615541732,-0.14285714285714285,7,0,6,1
DNK,16,-0.001820569049923392,-0.2,5,0,4,1
DNK,17,-0.005642410079865318,,2,0,1,1
DNK,18,-0.005068833765745237,-0.25,4,0,3,1
DNK,19,0.008080370864051877,0.2,5,1,4,0
DNK,20,-0.0001665372299339518,0.0,9,0,9,0
DNK,21,0.0015666186679739566,0.0,9,1,7,1
DNK,22,0.0006320845992459038,0.0,8,0,8,0
DNK,23,-0.0002806923694793085,0.0,8,0,8,0
DNK,24,-0.00279967508522606,-0.16666666666666666,6,0,5,1
DNK,25,-0.0015332517932928362,0.0,3,0,3,0
DOM,1,-0.0025653799230083837,0.0,5,0,5,0
DOM,2,0.00532454862936563,0.2,5,1,4,0
DOM,3,,,0,0,0,0
