country_name,year,civicus_score,civicus_rating
Dominican Republic,2024,76.0,Narrowed
Dominican Republic,2025,73.95,Narrowed
Ecuador,2023,46.66,Obstructed
Ecuador,2024,48.0,Obstructed
Ecuador,2025,46.73,Obstructed
Egypt,2023,17.97,Closed
Egypt,2024,20.0,Closed
Egypt,2025,17.83,Closed
El Salvador,2022,50.99,Obstructed
El Salvador,2023,45.99,Obstructed
El Salvador,2024,45.0,Obstructed
El Salvador,2025,35.15,Repressed
Equatorial Guinea,2023,18.58,Closed
Equatorial Guinea,2024,17.0,Closed
Equatorial Guinea,2025,14.82,Closed
Eritrea,2022,8.89,Closed
Eritrea,2023,3.19,Closed
Eritrea,2024,2.0,Closed
Eritrea,2025,4.0,Closed
Estonia,2023,93.4,Open
Estonia,2024,91.0,Open
Estonia,2025,95.81,Open
Eswatini,2023,23.98,Repressed
Eswatini,2024,19.0,Closed
Eswatini,2025,15.43,Closed
Ethiopia,2022,32.3,Repressed
Ethiopia,2023,31.12,Repressed
Ethiopia,2024,20.0,Closed
Ethiopia,2025,20.49,Closed
Fiji,2022,52.35,Obstructed
Fiji,2023,56.4,Obstructed
Fiji,2024,62.0,Narrowed
Fiji,2025,64.7,Narrowed
Finland,2023,95.25,Open
Finland,2024,92.0,Open
Finland,2025,88.92,Open
France,2023,71.21,Narrowed
France,2024,67.0,Narrowed
France,2025,60.42,Obstructed
Gabon,2023,39.92,Repressed
Gabon,2024,40.0,Repressed
Gabon,2025,53.84,Obstructed
Gambia,2023,54.95,Obstructed
Gambia,2024,51.0,Obstructed
Gambia,2025,46.68,Obstructed
Georgia,2022,67.92,Narrowed
Georgia,2023,62.16,Narrowed
Georgia,2024,54.0,Obstructed
Georgia,2025,34.29,Repressed
Germany,2023,75.67,Narrowed
Germany,2024,67.0,Narrowed
Germany,2025,60.25,Obstructed
Ghana,2022,69.88,Narrowed
Ghana,2023,54.55,Obstructed
Ghana,2024,56.0,Obstructed
Ghana,2025,60.28,Obstructed
Greece,2022,61.56,Narrowed
Greece,2023,57.7,Obstructed
Greece,2024,57.0,Obstructed
Greece,2025,51.18,Obstructed
Grenada,2023,82.4,Open
Grenada,2024,91.0,Open
Grenada,2025,89.0,Open
Guatemala,2022,46.3,Obstructed
Guatemala,2023,38.58,Repressed
Guatemala,2024,40.0,Repressed
Guatemala,2025,40.31,Repressed
Guinea,2022,25.31,Repressed
Guinea,2023,25.75,Repressed
Guinea,2024,30.0,Repressed
Guinea,2025,28.71,Repressed
Guinea Bissau,2023,49.23,Obstructed
Guinea Bissau,2024,41.0,Obstructed
Guinea Bissau,2025,43.53,Obstructed
Guyana,2023,75.38,Narrowed
Guyana,2024,73.0,Narrowed
Guyana,2025,70.51,Narrowed
Haiti,2023,37.14,Repressed
Haiti,2024,39.0,Repressed
Haiti,2025,34.24,Repressed
Honduras,2022,33.53,Repressed
Honduras,2023,35.81,Repressed
Honduras,2024,37.0,Repressed
Honduras,2025,38.03,Repressed
Hong Kong,2022,30.06,Repressed
Hong Kong,2023,20.39,Closed
Hong Kong,2024,20.0,Closed
Hong Kong,2025,15.86,Closed
Hungary,2023,49.71,Obstructed
Hungary,2024,46.0,Obstructed
Hungary,2025,46.0,Obstructed
Iceland,2023,86.66,Open
Iceland,2024,89.0,Open
Iceland,2025,85.5,Open
India,2022,34.94,Repressed
India,2023,31.38,Repressed
India,2024,33.0,Repressed
India,2025,30.0,Repressed
Indonesia,2022,46.12,Obstructed
Indonesia,2023,44.11,Obstructed
Indonesia,2024,48.0,Obstructed
Indonesia,2025,42.28,Obstructed
Iran,2022,15.26,Closed
Iran,2023,11.24,Closed
Iran,2024,8.0,Closed
Iran,2025,8.74,Closed
Iraq,2022,20.91,Repressed
Iraq,2023,18.97,Closed
Iraq,2024,18.0,Closed
Iraq,2025,17.59,Closed
Ireland,2023,88.48,Open
Ireland,2024,81.0,Open
Ireland,2025,89.31,Open
Israel,2023,50.55,Obstructed
Israel,2024,47.0,Obstructed
Israel,2025,39.32,Repressed
Italy,2023,67.27,Narrowed
Italy,2024,65.0,Narrowed
Italy,2025,60.0,Obstructed
Jamaica,2023,75.32,Narrowed
Jamaica,2024,84.0,Open
Jamaica,2025,83.94,Open
Japan,2022,75.09,Narrowed
Japan,2023,78.78,Narrowed
Japan,2024,84.0,Open
Japan,2025,87.72,Open
Jordan,2023,39.78,Repressed
Jordan,2024,39.0,Repressed
Jordan,2025,31.0,Repressed
Kazakhstan,2022,39.71,Repressed
Kazakhstan,2023,27.29,Repressed
Kazakhstan,2024,31.0,Repressed
Kazakhstan,2025,30.48,Repressed
Kenya,2022,41.95,Obstructed
Kenya,2023,49.94,Obstructed
